,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12
ctsa-1.2,-0.645971307837081,-0.655469119175881,-0.631924184940343,0.207332820588717,1.27043676850223,2.16821430351718,-0.65995291923859,-0.661291316797742,-0.590255688012225,1.57469967560975,-0.385605040853815,-0.32818582902314,-0.662028162339061
rps-11,0.861081626163266,-0.418076628148854,-1.00934284210376,0.645293213720707,1.19947451377938,0.56634466113966,1.14410870121491,-0.618459432552849,-0.652850156716167,1.40648063334788,-1.48576598836475,-0.470062543868133,-1.16822575761129
rps-8,0.964410505771932,-0.498100279462367,-1.0825968560868,0.74314976432353,1.39190938912655,0.63902673456821,1.10421718425083,-0.641655018853562,-1.10870503402364,1.01087183564145,-1.31449709965405,-0.150101281843926,-1.05792984375817
rpl-29,0.771048471933372,-0.406913761893713,-1.46813614077845,0.898877735662109,1.19965571759761,0.551081518271253,0.904863570884297,-0.699964883953375,-0.45052028728078,1.36751513810405,-1.46550871448774,-0.225682699896514,-0.976315664162118
rpl-13,0.873276142663899,-0.383638977794006,-1.20877614883651,0.772065609987291,1.13081184258636,0.551278068800346,0.928569997556538,-0.661444263282866,-0.714324308805334,1.44921616546881,-1.53982197157066,-0.123004221639729,-1.07420793513414
eef-1A.1,0.424153220084567,0.42445800045294,-2.05097782244055,0.144388572993009,1.00156518609269,-0.198370107081882,0.201667391546075,0.591151643714344,-0.516210676277297,0.942961923745041,-2.04549174258602,0.37255812277748,0.708146286979605
rpl-32,0.824047944134037,-0.326350887162088,-1.18123844891755,0.750707760785027,1.29379344654631,0.657114060526211,0.998261780118373,-0.71844025887062,-0.396425747563524,1.3008967205541,-1.29190442910055,-0.571997887450555,-1.33846405359917
rps-7,1.00348316373019,-0.393108366616294,-1.24292681045827,0.807719888983172,1.36611395680488,0.656900113961391,1.10005109502916,-0.602635811300097,-0.742105457382542,0.652651620729018,-1.59461507986783,0.102131712597406,-1.11366002621019
rpl-17,0.818226830977405,-0.379513274032286,-1.06061661064872,0.623624571390564,1.13346212632046,0.514191411795591,0.973119153449458,-0.46174625520795,-0.448379866359915,1.50273037905116,-1.71371112010544,-0.281530186811844,-1.21985715981848
rps-28,0.807278912296449,-0.190836355702698,-1.05617337429361,0.915327765457682,1.19418830402247,0.557361770461107,1.07482866807783,-0.48013354714131,-0.889954807718307,1.26662978982863,-1.59360874997827,-0.724327649169553,-0.88058072614041
act-5,0.123280667347044,-1.02450369896528,-1.22178416130027,0.312221422500141,0.29376421253998,1.07936051874032,0.737356160018402,-1.0813365115688,-0.428383702873007,1.91647518524408,-0.556017395953041,0.974496927111073,-1.12492962284065
rpl-11.2,0.757875820945454,-0.3065771323252,-0.971333055601083,0.645176856192677,1.03049697540718,0.396687710600953,0.837134509249547,-0.636274461335222,-0.86935836916475,1.90276812129183,-1.40859409241429,-0.278468068048541,-1.09953481479854
